athlete,year,gender,critical_speed,d_prime
Abdelaati IGUIDER,2016,Men,6.053,240.675
Abraham CHEBII,2004,Men,6.146,157.337
Adam GOUCHER,2006,Men,6.119,168.629
Adel MECHAAL,2017,Men,5.889,266.721
Adrian BLINCOE,2008,Men,6.142,138.307
Alan WEBB,2005,Men,6.057,197.614
Alberto GARCIA,2002,Men,6.107,181.496
Ali SAIDI-SIEF,2004,Men,6.095,183.855
Alistair Ian CRAGG,2007,Men,6.12,196.615
Andrew BADDELEY,2010,Men,5.966,227.259
Andrew BUMBALOUGH,2013,Men,6.103,174.12
Andrew BUTCHART,2017,Men,6.093,188.053
Andrew HUNTER,2019,Men,5.985,217.052
Antonio ABADIA,2016,Men,6.087,165.184
Augustine Kiprono CHOGE,2009,Men,6.127,216.126
Bashir ABDI,2014,Men,5.989,209.547
Ben ST. LAWRENCE,2010,Men,5.95,212.776
Ben TRUE,2013,Men,6.114,174.292
Benjamin LIMO,2005,Men,6.272,149.729
Bernard LAGAT,2005,Men,6.144,203.853
Bethwell BIRGEN,2017,Men,5.978,229.999
Boaz CHEBOIYWO,2005,Men,5.982,228.114
Bobby CURTIS,2008,Men,5.977,185.996
Bouabdellah TAHRI,2010,Men,6.078,206.382
Brahim KAAZOUZI,2017,Men,6.006,216.783
Brandon BETHKE,2011,Men,5.978,182.667
Caleb Mwangangi NDIKU,2013,Men,6.09,233.288
Cameron LEVINS,2013,Men,6.049,194.999
Carles CASTILLEJO,2003,Men,5.959,210.988
Carlos GARCIA,2004,Men,6.062,176.929
Chala REGASA,2018,Men,6.181,143.807
Chris DERRICK,2013,Men,6.156,147.165
Chris SOLINSKY,2007,Men,6.08,194.707
Collis BIRMINGHAM,2012,Men,6.092,200.503
Cornelius KANGOGO,2013,Men,6.063,184.551
Craig MOTTRAM,2004,Men,6.303,101.592
Daniel HULING,2013,Men,6.041,182.413
Daniel Kipchirchir KOMEN,2009,Men,5.865,278.495
Daniel Lemashon SALEL,2010,Men,6.169,147.086
David TORRENCE,2012,Men,6.026,194.399
Dawit WOLDE,2017,Men,6.152,134.495
Demma Daba BIKILA,2007,Men,6.166,149.772
Deresse MEKONNEN,2009,Men,6.075,224.803
Driss MAAZOUZI,2002,Men,5.842,271.408
Edward CHESEREK,2019,Men,6.178,149.562
Edwin Cheruiyot SOI,2013,Men,6.354,99.007
Eliud KIPCHOGE,2004,Men,6.323,158.348
Elliott HEATH,2013,Men,5.953,186.421
Elroy GELANT,2015,Men,5.921,217.664
Eric JENKINS,2017,Men,6.147,169.541
Evan JAGER,2013,Men,6.184,159.924
Filip INGEBRIGTSEN,2019,Men,6.032,206.602
Florian ORTH,2015,Men,5.895,228.614
Galen RUPP,2014,Men,6.182,157.414
Garrett HEATH,2015,Men,6.005,227.19
Gert-Jan LIEFERS,2005,Men,5.952,240.294
Grant FISHER,2019,Men,5.927,220.53
Halil AKKAS,2006,Men,5.964,181.271
Hassan MEAD,2014,Men,6.209,131.858
Henrik INGEBRIGTSEN,2015,Men,5.887,251.658
Hicham BELLANI,2007,Men,5.852,275.764
Hicham EL GUERROUJ,2004,Men,5.96,272.737
Hicham SIGUENI,2011,Men,5.96,193.4
Hillary CHENONGE,2003,Men,6,197.487
Hillary Kipkorir MAIYO,2016,Men,5.963,206.978
Ian DOBSON,2007,Men,6.042,172.905
Isiah Kiplangat KOECH,2012,Men,6.36,118.737
Jack BRUCE,2018,Men,5.948,185.826
Jakob INGEBRIGTSEN,2019,Men,6.131,176.011
Jamal HITRANE,2012,Men,5.964,218.548
James Kwalia C'KURUI,2003,Men,6.294,126.845
Jan FITSCHEN,2007,Men,6.127,133.559
Jeff SEE,2015,Men,5.992,191.241
Jesus ESPANA,2009,Men,6.112,167.377
Jimmy GRESSIER,2019,Men,5.983,190.288
John MAYOCK,2002,Men,5.983,224.014
Jonathan Kipkoech KOMEN,2008,Men,6.088,170.948
Jonathon RILEY,2004,Men,6.014,169.534
Josphat BOIT,2006,Men,5.947,189.778
Josphat Muchiri NDAMBIRI,2004,Men,5.94,210.607
Juan Carlos HIGUERO,2008,Men,5.93,242.721
Juan Luis BARRIOS,2007,Men,6.1,173.569
Juan VAN DEVENTER,2010,Men,5.954,215.304
Julien WANDERS,2019,Men,6.09,168.845
Justyn KNIGHT,2018,Men,6.008,201.484
Kenenisa BEKELE,2006,Men,6.311,142.51
Kevin SULLIVAN,2007,Men,5.977,230.679
Khalid EL AMRI,2006,Men,6.163,167.553
Khoudir AGGOUNE,2006,Men,6.125,156.874
Kirubel ERASSA,2019,Men,6.047,176.687
Lawi LALANG,2013,Men,6.171,169.967
Lopez LOMONG,2013,Men,6.123,154.772
Mang'ata Kimai NDIWA,2009,Men,6.191,141.739
Markos GENETI,2005,Men,6.181,174.893
Mathew KIPTANUI,2016,Men,6.078,175.266
Matt TEGENKAMP,2007,Men,6.102,202.093
Matthew LANE,2004,Men,5.957,202.105
Mekonnen GEBREMEDHIN,2017,Men,5.901,233.314
Michael KIBET,2019,Men,6.088,191.089
Mike FOPPEN,2019,Men,5.964,190.573
Mo FARAH,2015,Men,6,255.781
Mohamed KHALDI,2002,Men,6.034,188.73
Mohamed MOUSTAOUI,2005,Men,5.971,204.487
Mohammed AHMED,2017,Men,6.202,137.169
Monder RIZKI,2004,Men,6.105,152.535
Morhad AMDOUNI,2016,Men,5.963,213.181
Moses Ndiema KIPSIRO,2008,Men,6.278,143.439
Mulugeta WENDIMU,2004,Men,6.19,179.526
Mushir Salim JAWHER,2005,Men,6.225,141.965
Nick WILLIS,2014,Men,5.922,270.781
Nixon Kiplimo CHEPSEBA,2015,Men,5.875,252.257
Othmane EL GOUMRI,2013,Men,6.081,165.515
Paul CHELIMO,2018,Men,6.275,128.384
Paul Kipsiele KOECH,2012,Men,6.216,123.475
Rabii DOUKKANA,2019,Men,5.957,212.543
Reid COOLSAET,2007,Men,6.029,155.942
Richard RINGER,2018,Men,6.042,160.898
Riley MASTERS,2019,Men,5.95,181.379
Rinas AKHMADEYEV,2018,Men,6.023,159.081
Roberto GARCIA,2002,Men,6.013,202.731
Ronald KWEMOI,2017,Men,5.876,299.318
Ross PROUDFOOT,2015,Men,5.929,206.08
Rui SILVA,2004,Men,5.95,243.885
